produto,promocao,preco,preco_antigo,descricao
 Kit Capa e Película de Vidro Temperado 5D Full Cover Xiaomi Mi 9T Pro PHONOCARE SlimShield Preto,-60%,"€11,99","€30,00",telemoveis e pacotes tv
 Kit Capa e Película de Vidro Temperado 5D Full Cover Xiaomi Mi Note 8T PHONOCARE SlimShield Preto,-60%,"€11,99","€30,00",telemoveis e pacotes tv
10 Bandas Adesivas Elásticas ANSELF Amarela,-50%,"€17,40","€34,80",produtos
10 Bandas Adesivas Elásticas ANSELF Azul,-50%,"€17,40","€34,80",produtos
10 Bandas Adesivas Elásticas ANSELF Bege,-50%,"€17,40","€34,80",produtos
10 Bandas Adesivas Elásticas ANSELF Laranja,-50%,"€17,40","€34,80",produtos
10 Bandas Adesivas Elásticas ANSELF Preto,-50%,"€17,40","€34,80",produtos
10 Bandas Adesivas Elásticas ANSELF Verde,-50%,"€17,40","€34,80",produtos
10 Bandas Adesivas Elásticas ANSELF Vermelho,-50%,"€17,40","€34,80",produtos
10 Conectores de Bicicleta ANSELF 9S,-50%,"€10,89","€21,78",produtos
10 Películas Protetoras para Bicicleta ANSELF Brancas,-50%,"€17,33","€34,66",produtos
10 Películas Protetoras para Bicicleta ANSELF Pretas,-50%,"€15,86","€31,72",produtos
10 Viseiras ANSELF Transparentes,-50%,"€23,86","€47,72",produtos
100 Fraldas para Cães Absorventes ANSELF (45x33cm),-50%,"€65,11","€130,22",produtos
100 Luvas Transparentes ANSELF Eco,-50%,"€11,07","€22,14",moveis decoracao e cozinha
100 Luvas Transparentes ANSELF Eco MD527,-50%,"€10,43","€20,86",moveis decoracao e cozinha
100 Luvas Transparentes ANSELF L,-50%,"€36,98","€73,96",moveis decoracao e cozinha
100 Luvas Transparentes ANSELF M,-50%,"€35,68","€71,36",moveis decoracao e cozinha
100 Luvas Transparentes ANSELF PVC L,-50%,"€42,31","€84,62",moveis decoracao e cozinha
100 Luvas Transparentes ANSELF PVC M,-50%,"€42,31","€84,62",moveis decoracao e cozinha
100 Luvas Transparentes ANSELF PVC S,-50%,"€42,31","€84,62",moveis decoracao e cozinha
100 Luvas Transparentes ANSELF S,-50%,"€33,08","€66,16",moveis decoracao e cozinha
100 Luvas Transparentes ANSELF XL,-50%,"€38,75","€77,50",moveis decoracao e cozinha
100 Luvas Transparentes ANSELF XL,-50%,"€38,75","€77,50",moveis decoracao e cozinha
100 Luvas Transparentes ANSELF XL,-50%,"€38,75","€77,50",moveis decoracao e cozinha
15 CD Vladimir Horowitz - The Great Comeback,Leva 3 Paga 2*,"€85,99","€85,99",entretenimento e cultura
2 Bandas de Restrição ANSELF Azul,-50%,"€15,10","€30,20",produtos
2 Blocos de Estabilidade para Yoga ANSELF Eva Antiderrapante Meditação Azul,-50%,"€30,11","€60,22",produtos
2 Blocos de Estabilidade para Yoga ANSELF Eva Antiderrapante Meditação Cinzento,-50%,"€30,14","€60,28",produtos
2 Blocos de Estabilidade para Yoga ANSELF Eva Antiderrapante Meditação Laranja,-50%,"€30,11","€60,22",produtos
2 Blocos de Estabilidade para Yoga ANSELF Eva Antiderrapante Meditação Roxo,-50%,"€30,11","€60,22",produtos
2 Blocos de Estabilidade para Yoga ANSELF Eva Antiderrapante Meditação Verde,-50%,"€30,14","€60,28",produtos
2 Blocos de Estabilidade para Yoga ANSELF Eva Antiderrapante Meditação Verde,-50%,"€30,14","€60,28",produtos
2 Blocos de Estabilidade para Yoga ANSELF Eva Antiderrapante Meditação Verde,-50%,"€30,14","€60,28",produtos
2 Blocos de Estabilidade para Yoga ANSELF Eva Antiderrapante Meditação Verde,-50%,"€30,14","€60,28",produtos
2 Blocos de Estabilidade para Yoga ANSELF Eva Antiderrapante Meditação Verde,-50%,"€30,14","€60,28",produtos
2 Blocos de Estabilidade para Yoga ANSELF Eva Antiderrapante Meditação Verde,-50%,"€30,14","€60,28",produtos
2 CD Bruce Springsteen - Western Stars - Songs From The Film,Leva 3 Paga 2*,"€16,99","€16,99",entretenimento e cultura
2 CD Bruce Springsteen - Western Stars - Songs From The Film,Leva 3 Paga 2*,"€16,99","€16,99",entretenimento e cultura
2 CD Bruce Springsteen - Western Stars - Songs From The Film,Leva 3 Paga 2*,"€16,99","€16,99",entretenimento e cultura
2 CD Latin Hits: Summer 2019,Leva 3 Paga 2*,"€9,99","€9,99",produtos
2 CD Latin Hits: Summer 2019,Leva 3 Paga 2*,"€9,99","€9,99",produtos
2 CD Latin Hits: Summer 2019,Leva 3 Paga 2*,"€9,99","€9,99",produtos
2 CD Montserrat Caballé - Diva Eterna,Leva 3 Paga 2*,"€7,99","€7,99",entretenimento e cultura
2 CD Montserrat Caballé - Diva Eterna,Leva 3 Paga 2*,"€7,99","€7,99",entretenimento e cultura
2 CD Montserrat Caballé - Diva Eterna,Leva 3 Paga 2*,"€7,99","€7,99",entretenimento e cultura
2 CD Montserrat Caballé - Diva Eterna,Leva 3 Paga 2*,"€7,99","€7,99",entretenimento e cultura
2 CD Montserrat Caballé - Diva Eterna,Leva 3 Paga 2*,"€7,99","€7,99",entretenimento e cultura
